epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1538.19,0.85415,0.83403,1.30135,0.81273,0.5753,0.63074,0.48938,0.94899,0.99514,1.40305,0.0013268,0.0013268,0.0013268
70,1567.18,0.87936,0.86199,1.29804,0.82416,0.59337,0.67126,0.52716,0.96493,0.91161,1.41618,0.0013169,0.0013169,0.0013169
71,1596.51,0.84228,0.83383,1.28745,0.8807,0.56928,0.65915,0.51285,0.95532,0.96656,1.42826,0.001307,0.001307,0.001307
72,1625.72,0.89377,0.87961,1.31736,0.87149,0.5994,0.67745,0.52836,0.90667,0.87713,1.40959,0.0012971,0.0012971,0.0012971
73,1655.15,0.84135,0.81896,1.28351,0.86228,0.56578,0.66317,0.51791,0.93285,0.90816,1.41033,0.0012872,0.0012872,0.0012872
74,1683.87,0.86486,0.83544,1.30306,0.86945,0.58175,0.66135,0.51316,0.94578,0.87628,1.41718,0.0012773,0.0012773,0.0012773
75,1712.51,0.87295,0.84596,1.3058,0.85794,0.5994,0.6593,0.51639,0.92144,0.92382,1.38881,0.0012674,0.0012674,0.0012674
76,1741.42,0.83529,0.80858,1.27877,0.84492,0.59337,0.65489,0.51703,0.92766,0.9794,1.37213,0.0012575,0.0012575,0.0012575
77,1770.32,0.88457,0.84818,1.30862,0.83561,0.58182,0.66408,0.51106,0.96623,0.94294,1.43382,0.0012476,0.0012476,0.0012476
78,1799.06,0.82544,0.79105,1.27477,0.86804,0.59337,0.66998,0.52474,0.92935,0.86946,1.41081,0.0012377,0.0012377,0.0012377
79,1828.14,0.85143,0.81841,1.2824,0.86137,0.57229,0.66781,0.52171,0.93486,0.89376,1.42746,0.0012278,0.0012278,0.0012278
80,1857.25,0.84466,0.81115,1.29335,0.84914,0.58434,0.66657,0.52631,0.91088,0.91272,1.39219,0.0012179,0.0012179,0.0012179
81,1886.13,0.86034,0.82274,1.29994,0.84182,0.61747,0.67279,0.5266,0.92262,0.90907,1.39988,0.001208,0.001208,0.001208
82,1915.08,0.8395,0.79742,1.27477,0.86981,0.58434,0.67427,0.52671,0.92623,0.91481,1.40923,0.0011981,0.0011981,0.0011981
83,1944.12,0.80759,0.77135,1.2527,0.77766,0.64458,0.67103,0.53155,0.91751,0.97659,1.39197,0.0011882,0.0011882,0.0011882
84,1973.28,0.83122,0.80309,1.27421,0.82358,0.60462,0.65875,0.51437,0.92699,0.93623,1.42224,0.0011783,0.0011783,0.0011783
85,2002.47,0.83645,0.7839,1.28114,0.78496,0.59036,0.67028,0.51402,0.93486,0.92491,1.40311,0.0011684,0.0011684,0.0011684
86,2031.39,0.83,0.79605,1.27512,0.85314,0.58133,0.65468,0.51306,0.90483,0.90459,1.38659,0.0011585,0.0011585,0.0011585
87,2059.89,0.81999,0.76872,1.26265,0.79429,0.60843,0.66486,0.51374,0.92443,0.91758,1.39564,0.0011486,0.0011486,0.0011486
88,2088.67,0.81973,0.7753,1.26317,0.83881,0.58434,0.6513,0.49473,0.97533,0.93293,1.49141,0.0011387,0.0011387,0.0011387
89,2117.69,0.80788,0.76683,1.26541,0.85188,0.59337,0.67167,0.5215,0.90623,0.89562,1.37306,0.0011288,0.0011288,0.0011288
90,2146.53,0.79168,0.75687,1.27058,0.86711,0.56995,0.6717,0.52412,0.89167,0.89198,1.36928,0.0011189,0.0011189,0.0011189
91,2175.27,0.79281,0.74713,1.26043,0.8096,0.61145,0.65806,0.51765,0.90689,0.93615,1.38995,0.001109,0.001109,0.001109
92,2204.68,0.80537,0.75049,1.24865,0.80149,0.60843,0.66705,0.52835,0.90796,0.8831,1.39374,0.0010991,0.0010991,0.0010991
93,2233.38,0.82317,0.76728,1.27235,0.84852,0.59337,0.6613,0.52614,0.92515,0.9209,1.41163,0.0010892,0.0010892,0.0010892
94,2262.35,0.81291,0.74453,1.26555,0.86106,0.57229,0.65983,0.51281,0.90531,0.9359,1.39597,0.0010793,0.0010793,0.0010793
95,2291.43,0.81062,0.77053,1.26533,0.83769,0.60626,0.65371,0.51964,0.9052,0.92111,1.38421,0.0010694,0.0010694,0.0010694
96,2320.55,0.78809,0.74865,1.24632,0.88307,0.59142,0.68688,0.53117,0.91539,0.87995,1.38833,0.0010595,0.0010595,0.0010595
97,2354.41,0.79476,0.74839,1.25557,0.84322,0.58735,0.67265,0.52979,0.89623,0.88724,1.39307,0.0010496,0.0010496,0.0010496
98,2389.66,0.79087,0.75686,1.24822,0.85099,0.58434,0.64889,0.51725,0.90637,0.98344,1.38852,0.0010397,0.0010397,0.0010397
99,2424.4,0.77435,0.72938,1.23645,0.88583,0.58423,0.67709,0.52974,0.90959,0.90039,1.41976,0.0010298,0.0010298,0.0010298
100,2462.01,0.79112,0.73881,1.263,0.81992,0.59639,0.66008,0.52189,0.92304,0.96655,1.44518,0.0010199,0.0010199,0.0010199
101,2501.85,0.79828,0.75046,1.25387,0.8372,0.59337,0.66314,0.52282,0.90244,0.8875,1.39193,0.00101,0.00101,0.00101
102,5780.31,0.78586,0.73173,1.2515,0.86174,0.58196,0.66198,0.52512,0.88296,0.93144,1.3735,0.0010001,0.0010001,0.0010001
103,5808.45,0.7879,0.74828,1.25089,0.85297,0.59411,0.673,0.53595,0.89458,0.88685,1.39821,0.0009902,0.0009902,0.0009902
104,5834.29,0.7921,0.73619,1.2423,0.80765,0.62048,0.66628,0.52786,0.91104,0.92914,1.41321,0.0009803,0.0009803,0.0009803
105,5860.22,0.77438,0.7152,1.23913,0.82204,0.5753,0.64977,0.53028,0.8688,0.9207,1.35982,0.0009704,0.0009704,0.0009704
106,5886.77,0.78649,0.73829,1.24571,0.89596,0.57066,0.66804,0.53468,0.88593,0.8979,1.37359,0.0009605,0.0009605,0.0009605
107,5913.64,0.77505,0.71357,1.23967,0.86529,0.5804,0.65494,0.52169,0.90177,0.95101,1.39545,0.0009506,0.0009506,0.0009506
108,5940.61,0.76256,0.70495,1.23102,0.82574,0.59337,0.66065,0.5245,0.89427,0.93468,1.38404,0.0009407,0.0009407,0.0009407
109,5967.94,0.78864,0.72718,1.2479,0.88144,0.57229,0.66017,0.51671,0.92497,0.91686,1.41219,0.0009308,0.0009308,0.0009308
110,5994.69,0.75796,0.69391,1.23026,0.84253,0.59036,0.6623,0.52598,0.89814,0.95969,1.3859,0.0009209,0.0009209,0.0009209
111,6021.4,0.75852,0.7107,1.22958,0.8609,0.59639,0.66787,0.53502,0.87911,0.89105,1.38016,0.000911,0.000911,0.000911
112,6048.05,0.75757,0.70628,1.22706,0.86655,0.58735,0.66053,0.52741,0.86906,0.8915,1.38325,0.0009011,0.0009011,0.0009011
113,6074.78,0.7763,0.71303,1.23069,0.87449,0.60861,0.67719,0.54457,0.92279,0.92014,1.41039,0.0008912,0.0008912,0.0008912
114,6106.15,0.75954,0.70345,1.22678,0.80136,0.62651,0.66147,0.53277,0.86014,0.90478,1.35823,0.0008813,0.0008813,0.0008813
115,6138.16,0.76876,0.70537,1.23727,0.88361,0.57831,0.66524,0.53051,0.90525,0.93281,1.39179,0.0008714,0.0008714,0.0008714
116,6169.62,0.76203,0.69788,1.23032,0.85334,0.59639,0.66177,0.5293,0.89327,0.93641,1.3988,0.0008615,0.0008615,0.0008615
117,6195.98,0.73171,0.6702,1.20889,0.87436,0.57831,0.66309,0.53096,0.88486,0.95814,1.36593,0.0008516,0.0008516,0.0008516
118,6222.87,0.74058,0.67842,1.21556,0.80219,0.61073,0.66356,0.5266,0.91028,0.94558,1.42837,0.0008417,0.0008417,0.0008417
119,6264.14,0.75743,0.70447,1.22865,0.80861,0.60241,0.65516,0.50997,0.93084,0.97874,1.41865,0.0008318,0.0008318,0.0008318
120,6304.31,0.73269,0.679,1.215,0.81905,0.59337,0.6499,0.51516,0.90759,0.96069,1.4061,0.0008219,0.0008219,0.0008219
121,6342.25,0.76363,0.70898,1.23397,0.88674,0.56928,0.66491,0.5305,0.90589,0.94971,1.39821,0.000812,0.000812,0.000812
122,6380.97,0.74668,0.68964,1.22019,0.86738,0.5753,0.65376,0.52327,0.91449,0.98981,1.39973,0.0008021,0.0008021,0.0008021
123,6420.56,0.75967,0.69409,1.2354,0.83076,0.59036,0.65395,0.52925,0.89454,0.90922,1.38139,0.0007922,0.0007922,0.0007922
124,6454.89,0.7069,0.6422,1.1912,0.83324,0.60843,0.66174,0.52956,0.8951,0.92515,1.39237,0.0007823,0.0007823,0.0007823
125,6487.85,0.75775,0.70771,1.22597,0.92079,0.56021,0.6592,0.52983,0.90411,0.93558,1.38445,0.0007724,0.0007724,0.0007724
126,6518.88,0.7501,0.69742,1.22049,0.89772,0.56024,0.6614,0.52361,0.87172,0.91642,1.36345,0.0007625,0.0007625,0.0007625
127,6546.94,0.74767,0.68742,1.22305,0.86235,0.58497,0.66217,0.53063,0.89176,0.92388,1.36806,0.0007526,0.0007526,0.0007526
128,6574.01,0.73757,0.65805,1.21205,0.85812,0.56477,0.64818,0.51836,0.93959,0.95415,1.4415,0.0007427,0.0007427,0.0007427
129,6600.73,0.74257,0.68265,1.21364,0.84304,0.59639,0.66457,0.53169,0.90123,0.93093,1.40233,0.0007328,0.0007328,0.0007328
130,6627.43,0.72393,0.6534,1.20364,0.88613,0.58434,0.67051,0.52927,0.88349,0.93318,1.3838,0.0007229,0.0007229,0.0007229
131,6653.93,0.7505,0.67593,1.22017,0.86602,0.59639,0.66893,0.53469,0.90566,0.92286,1.39841,0.000713,0.000713,0.000713
132,6680.63,0.70855,0.64186,1.18878,0.84469,0.59639,0.67025,0.52458,0.92464,0.97895,1.40772,0.0007031,0.0007031,0.0007031
