epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6043.51,1.39386,1.57397,1.95848,0.76875,0.65541,0.73308,0.38097,1.78479,1.11316,2.51146,0.00782839,0.00782839,0.00782839
70,6180.48,1.40114,1.57324,1.94947,0.72753,0.6792,0.72935,0.36936,1.83128,1.14762,2.56497,0.00779645,0.00779645,0.00779645
71,6317.06,1.39319,1.53635,1.94654,0.69565,0.67169,0.72083,0.36604,1.80828,1.13388,2.51874,0.00776452,0.00776452,0.00776452
72,6454.71,1.40067,1.56883,1.95643,0.73719,0.65228,0.70676,0.36624,1.7982,1.13245,2.51786,0.00773258,0.00773258,0.00773258
73,6590.76,1.38281,1.53773,1.94502,0.77502,0.64343,0.72654,0.37598,1.77975,1.1238,2.50293,0.00770065,0.00770065,0.00770065
74,6727.91,1.37787,1.54247,1.93603,0.77082,0.65073,0.72404,0.37728,1.79903,1.12622,2.51464,0.00766871,0.00766871,0.00766871
75,6864.46,1.39546,1.57331,1.94972,0.70535,0.66605,0.72246,0.36771,1.79582,1.12868,2.50154,0.00763677,0.00763677,0.00763677
76,7001.5,1.38039,1.55225,1.9441,0.76061,0.66294,0.7329,0.37586,1.78718,1.12374,2.49627,0.00760484,0.00760484,0.00760484
77,7138.22,1.3909,1.53985,1.9425,0.77667,0.66563,0.73776,0.38255,1.78075,1.10926,2.4878,0.0075729,0.0075729,0.0075729
78,7274.75,1.39776,1.54052,1.9422,0.72794,0.67579,0.7367,0.37933,1.77521,1.12872,2.47543,0.00754097,0.00754097,0.00754097
79,7412.02,1.38968,1.54016,1.94548,0.7083,0.68747,0.73124,0.37699,1.77778,1.11018,2.47155,0.00750903,0.00750903,0.00750903
80,7511.83,1.37707,1.54726,1.93934,0.79558,0.65876,0.7349,0.37976,1.772,1.10496,2.48098,0.0074771,0.0074771,0.0074771
81,7583.06,1.38043,1.5397,1.92783,0.74268,0.65428,0.72375,0.37385,1.78178,1.10933,2.49556,0.00744516,0.00744516,0.00744516
82,7655.36,1.38107,1.52933,1.93176,0.72568,0.65457,0.7244,0.37756,1.78319,1.10049,2.47823,0.00741323,0.00741323,0.00741323
83,7727.34,1.37763,1.52407,1.93949,0.75964,0.64694,0.72171,0.37772,1.78182,1.10397,2.47895,0.00738129,0.00738129,0.00738129
84,7798.71,1.37914,1.54496,1.93676,0.75986,0.65658,0.72796,0.38431,1.77203,1.09729,2.48209,0.00734935,0.00734935,0.00734935
85,7871.11,1.37966,1.54271,1.93627,0.7423,0.66724,0.72896,0.38078,1.78825,1.10096,2.49746,0.00731742,0.00731742,0.00731742
86,7943.59,1.37238,1.53484,1.93125,0.75461,0.66525,0.73782,0.3825,1.77628,1.09334,2.4872,0.00728548,0.00728548,0.00728548
87,8015.08,1.38464,1.53406,1.9331,0.76983,0.64864,0.72944,0.37594,1.79733,1.09411,2.5213,0.00725355,0.00725355,0.00725355
88,8086.96,1.3774,1.51301,1.9323,0.78063,0.6743,0.74879,0.38545,1.79417,1.08723,2.5157,0.00722161,0.00722161,0.00722161
89,8159.44,1.36494,1.51941,1.93392,0.79848,0.64564,0.74155,0.38492,1.78246,1.09907,2.47533,0.00718968,0.00718968,0.00718968
90,8231.19,1.37448,1.51453,1.92796,0.74975,0.67331,0.73353,0.37127,1.79969,1.11163,2.50954,0.00715774,0.00715774,0.00715774
91,8302.44,1.36454,1.51586,1.93269,0.7796,0.6481,0.73313,0.37402,1.78988,1.09851,2.48822,0.00712581,0.00712581,0.00712581
92,8375.01,1.36597,1.50786,1.92899,0.73931,0.66729,0.74059,0.37842,1.7902,1.10243,2.48585,0.00709387,0.00709387,0.00709387
93,8447.06,1.36233,1.50559,1.92006,0.77219,0.67217,0.74881,0.38416,1.76945,1.09076,2.47773,0.00706194,0.00706194,0.00706194
94,8518.14,1.37208,1.52017,1.92824,0.75028,0.67512,0.74745,0.38857,1.77267,1.08635,2.4882,0.00703,0.00703,0.00703
95,8591.4,1.36246,1.50983,1.92194,0.76856,0.66763,0.7492,0.39099,1.76904,1.07392,2.48163,0.00699806,0.00699806,0.00699806
96,8663.4,1.35357,1.5058,1.91215,0.78441,0.66146,0.74074,0.38487,1.77216,1.08712,2.47949,0.00696613,0.00696613,0.00696613
97,8734.68,1.36934,1.52325,1.92073,0.8166,0.65398,0.75018,0.39044,1.77693,1.06739,2.48005,0.00693419,0.00693419,0.00693419
98,8805.98,1.35836,1.50664,1.92349,0.80021,0.66215,0.75288,0.38405,1.78377,1.0669,2.49158,0.00690226,0.00690226,0.00690226
99,8878.3,1.36882,1.50861,1.92263,0.83677,0.62562,0.74469,0.37579,1.79822,1.07349,2.51529,0.00687032,0.00687032,0.00687032
100,8950.13,1.36499,1.4901,1.91546,0.78764,0.66535,0.74669,0.38042,1.7847,1.07666,2.50312,0.00683839,0.00683839,0.00683839
101,9021.17,1.36171,1.48313,1.91062,0.78494,0.67197,0.7404,0.38855,1.77694,1.06636,2.48593,0.00680645,0.00680645,0.00680645
